epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,113.362,0.77605,1.04302,0.99597,0.99479,1,0.995,0.74336,0.8573,1.33788,1.05874,0.0008912,0.0008912,0.0008912
30,117.77,0.83159,1.30454,1.00496,0.99616,1,0.995,0.76829,0.82768,1.36153,1.02772,0.0008516,0.0008516,0.0008516
31,122.281,0.78563,1.124,0.97939,0.99519,1,0.995,0.76093,0.86047,1.34734,1.05801,0.000812,0.000812,0.000812
32,126.634,0.79279,1.08574,0.99679,0.99519,1,0.995,0.76093,0.86047,1.34734,1.05801,0.0007724,0.0007724,0.0007724
33,130.896,0.80301,1.117,0.97322,0.99379,1,0.995,0.76768,0.87929,1.31637,1.09731,0.0007328,0.0007328,0.0007328
34,135.162,0.78517,1.04762,0.96861,0.99379,1,0.995,0.76768,0.87929,1.31637,1.09731,0.0006932,0.0006932,0.0006932
35,139.387,0.76042,1.1026,0.96709,0.99256,1,0.995,0.77797,0.84385,1.27881,1.08447,0.0006536,0.0006536,0.0006536
36,143.618,0.72921,1.06667,0.97318,0.99606,1,0.995,0.79022,0.84074,1.26442,1.06217,0.000614,0.000614,0.000614
37,147.816,0.78994,1.07275,1.00512,0.99606,1,0.995,0.79022,0.84074,1.26442,1.06217,0.0005744,0.0005744,0.0005744
38,152.084,0.76534,1.11525,0.9759,0.99767,1,0.995,0.8221,0.82083,1.2542,1.05033,0.0005348,0.0005348,0.0005348
39,156.318,0.74545,0.97445,0.95479,0.99828,1,0.995,0.80593,0.76641,1.24214,1.0435,0.0004952,0.0004952,0.0004952
40,160.526,0.66143,1.03704,0.90306,0.99828,1,0.995,0.80593,0.76641,1.24214,1.0435,0.0004556,0.0004556,0.0004556
41,164.768,0.60741,1.09636,0.907,0.99835,1,0.995,0.80312,0.79116,1.2077,1.06479,0.000416,0.000416,0.000416
42,169.004,0.65203,1.11995,0.90133,0.99835,1,0.995,0.80312,0.79116,1.2077,1.06479,0.0003764,0.0003764,0.0003764
43,172.88,0.62541,1.10787,0.88815,0.99692,1,0.995,0.79428,0.78285,1.16079,1.05977,0.0003368,0.0003368,0.0003368
